X,Y,ID,CD_GEOCODI,TIPO,NM_BAIRRO,NM_SUBDIST,NM_MUNICIP,SC_indices,SC_indic_1,SC_indic_2,SC_indic_3,SC_indic_4,SC_indic_5,icon_url
-52.710707762687,-24.8004901240491,"4010","410045905000001",URBANO,,,ALTAMIRA DO PARANÁ,ALTAMIRA DO PARANÁ,"14.9691358024691","0.335620948199197","451.855590062112","0.123814822142161","0.403748605003067",
-52.7159025416812,-24.8003780799175,"4011","410045905000002",URBANO,,,ALTAMIRA DO PARANÁ,ALTAMIRA DO PARANÁ,"13.6966126656848","0.425880903653558","735.677466863034","0.351233319858306","0.481404301247641",
-52.7297721724933,-24.7656959152464,"4012","410045905000003",RURAL,,,ALTAMIRA DO PARANÁ,ALTAMIRA DO PARANÁ,"13.8461538461538","0.41527396072454","221.394871794872","0","0.302713978910313",
-52.6814695414458,-24.789004548562,"4013","410045905000004",RURAL,,,ALTAMIRA DO PARANÁ,ALTAMIRA DO PARANÁ,"13.3105802047782","0.453262152542614","241.945017182131","0","0.312809396074516",
-52.592892921334,-24.8064227833382,"4014","410045905000005",RURAL,,,ALTAMIRA DO PARANÁ,ALTAMIRA DO PARANÁ,"11.6564417177914","0.57059005160782","279.282208588957","0","0.331016373019604",
-52.6195801522227,-24.8805903467209,"4015","410045905000006",RURAL,,,ALTAMIRA DO PARANÁ,ALTAMIRA DO PARANÁ,"10.2639296187683","0.669360813721505","220.847826086957","0","0.348958990737949",
-52.6647621718219,-24.8619478809763,"4016","410045905000007",RURAL,,,ALTAMIRA DO PARANÁ,ALTAMIRA DO PARANÁ,"18.9189189189189","0.0554631751577991","311.34749034749","0.0112296285192503","0.241440442217509",
-52.7416293517058,-24.8422099703355,"4017","410045905000008",RURAL,,,ALTAMIRA DO PARANÁ,ALTAMIRA DO PARANÁ,"15.9763313609467","0.264180654805593","259.349253731343","0","0.336036770778566",
-52.6953926647978,-24.8257011337909,"4018","410045905000009",RURAL,,,ALTAMIRA DO PARANÁ,ALTAMIRA DO PARANÁ,"11.1731843575419","0.604867454154181","318.854748603352","0.0172449836911587","0.378751618568125",
-52.7892455290833,-24.797188393802,"4019","410045905000010",RURAL,,,ALTAMIRA DO PARANÁ,ALTAMIRA DO PARANÁ,"11.1969111969112","0.603184511500613","289.498069498069","0","0.349025923664307",
-52.8063519305181,-24.7553718760443,"4020","410045905000011",RURAL,,,ALTAMIRA DO PARANÁ,ALTAMIRA DO PARANÁ,"13.1944444444444","0.461499651925823","262.006993006993","0","0.311181754895604",
-52.7177194714419,-24.8042703492739,"4022","410045905000013",URBANO,,,ALTAMIRA DO PARANÁ,ALTAMIRA DO PARANÁ,"11.5264797507788","0.579808242628662","200.98753894081","0","0.362118710925228",
-52.499621405064,-23.9282070282712,"4641","410170505000001",URBANO,,,ARARUNA,ARARUNA,"17.9357021996616","0.125202651570315","648.568527918782","0.281435373852035","0.412663495841717",
-52.4892325440851,-23.9261852883645,"4643","410170505000003",URBANO,,,ARARUNA,ARARUNA,"11.5992970123023","0.574643320599797","484.238137082601","0.149762047488668","0.4743506461616",
-52.4859609726514,-23.9267197119214,"4644","410170505000004",URBANO,,,ARARUNA,ARARUNA,"8.25174825174825","0.812084663137936","519.174825174825","0.177755834333662","0.4304921515913",
-52.5089453754256,-23.9219190530001,"4649","410170505000009",URBANO,,,ARARUNA,ARARUNA,"9.76430976430977","0.704798806559499","352.919191919192","0.0445398652969869","0.44653116657643",
-52.5329008914835,-23.9623693457234,"4651","410170505000011",RURAL,,,ARARUNA,ARARUNA,"14.1333333333333","0.394904344667319","436.034666666667","0.111137960613273","0.344116287021782",
-52.5794761554027,-23.9255989595702,"4652","410170505000012",RURAL,,,ARARUNA,ARARUNA,"12.7090301003344","0.495930049149872","411.327759197325","0.0913410096409882","0.350640846091619",
-52.5396015246146,-23.8786914017562,"4653","410170505000013",RURAL,,,ARARUNA,ARARUNA,"12.6934984520124","0.497031707614978","565.216718266254","0.214647910014651","0.395650366346456",
-49.2691416024209,-25.3395722666203,"3762","410040005000126",URBANO,,,ALMIRANTE TAMANDARÉ,ALMIRANTE TAMANDARÉ,"6.12244897959184","0.963115675383034","500.066790352505","0.162445102748838","0.462017668195337",
-49.2403916785553,-25.3456433575595,"3763","410040005000127",URBANO,,,ALMIRANTE TAMANDARÉ,ALMIRANTE TAMANDARÉ,"7.30717185385656","0.879083384915515","540.909336941813","0.195171088120139","0.478673810033897",
-49.2475967906028,-25.3408605519913,"3765","410040005000129",URBANO,,,ALMIRANTE TAMANDARÉ,ALMIRANTE TAMANDARÉ,"3.73001776198934","1","386.404973357016","0.0713710813937737","0.345890001382524",
-49.2706784491927,-25.3427677175851,"3766","410040005000130",URBANO,,,ALMIRANTE TAMANDARÉ,ALMIRANTE TAMANDARÉ,"11.6883116883117","0.568329517369707","580.465367965368","0.226866224705046","0.426511118081236",
-49.2999536127316,-25.3768821218724,"3768","410040005000132",URBANO,,,ALMIRANTE TAMANDARÉ,ALMIRANTE TAMANDARÉ,"5.86881472957422","0.981105930684907","425.379746835443","0.102600472634492","0.365673659953736",
-53.3881762216687,-25.9522103178376,"3770","410100215000002",RURAL,,,AMPÉRE,AMPÉRE,"16.6666666666667","0.21521523159112","436.197530864198","0.111268459120124","0.383325807795975",
-53.3920865689767,-25.9891461093492,"3771","410100215000003",RURAL,,,AMPÉRE,AMPÉRE,"17.0792079207921","0.185953716303828","296.314356435644","0","0.260796707126488",
